Round,Turn,UnitName,UnitIdr,UnitAccuracy,HitSuccess,HitRollResult,TargetName,TargetIdr,TargetDodge,TargetAc,Damage,TargetRemainHp
1,0,Randy Savage,20,20,False,20.65852005309725,Goblin Ranger,55,30,1,0,15
1,1,Link,10,50,True,50.56650575746974,Goblin Ranger,55,30,1,4,11
1,2,Goblin Ranger,55,80,True,80.60769035314911,Randy Savage,20,32,2,0,55
1,3,Goblin C,52,50,True,50.82686598103596,Randy Savage,20,32,2,0,55
1,4,Troll,53,20,False,20.59258990429998,Randy Savage,20,32,2,0,55
1,5,Goblin B,51,20,False,20.32748876119109,Randy Savage,20,32,2,0,55
1,6,Goblin A,50,20,False,20.690619529505806,Randy Savage,20,32,2,0,55
2,0,Randy Savage,20,20,False,20.123538922546278,Goblin Ranger,55,30,1,0,11
2,1,Link,10,50,True,50.38313737194774,Goblin Ranger,55,30,1,4,7
2,2,Goblin Ranger,55,80,True,80.95705735264819,Randy Savage,20,32,2,0,55
2,3,Goblin C,52,50,True,50.13409811684873,Randy Savage,20,32,2,0,55
2,4,Troll,53,20,False,20.32121867924554,Randy Savage,20,32,2,0,55
2,5,Goblin B,51,20,False,20.33310586680015,Randy Savage,20,32,2,0,55
2,6,Goblin A,50,20,False,20.333930319179323,Randy Savage,20,32,2,0,55
3,0,Randy Savage,20,20,False,20.964020920295244,Goblin Ranger,55,30,1,0,7
3,1,Link,10,50,True,50.39453560010374,Goblin Ranger,55,30,1,4,3
3,2,Goblin Ranger,55,80,True,80.0496903008226,Randy Savage,20,32,2,0,55
3,3,Goblin C,52,50,True,50.00886446010757,Randy Savage,20,32,2,0,55
3,4,Troll,53,20,False,20.14657721253985,Randy Savage,20,32,2,0,55
3,5,Goblin B,51,20,False,20.669789244770307,Randy Savage,20,32,2,0,55
3,6,Goblin A,50,20,False,20.393711503040077,Randy Savage,20,32,2,0,55
4,0,Randy Savage,20,20,False,20.992602799585363,Goblin Ranger,55,30,1,0,3
4,1,Link,10,50,True,50.329389272411824,Goblin Ranger,55,30,1,4,-1
4,2,Goblin C,52,50,True,50.17193403326357,Randy Savage,20,32,2,0,55
4,3,Troll,53,20,False,20.78402094606558,Randy Savage,20,32,2,0,55
4,4,Goblin B,51,20,False,20.79723443574744,Randy Savage,20,32,2,0,55
4,5,Goblin A,50,20,False,20.880432158851058,Randy Savage,20,32,2,0,55
5,0,Randy Savage,20,20,False,20.679365301559766,Goblin C,52,30,0,0,10
5,1,Link,10,50,True,50.473134875459316,Goblin C,52,30,0,5,5
5,2,Goblin C,52,50,True,50.55049973912463,Randy Savage,20,32,2,0,55
